fname,labels,mids,split,audio_path
119907,"Packing_tape_and_duct_tape,Tearing,Domestic_sounds_and_home_sounds","/m/05mxj0q,/m/07qcx4z,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
156334,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
364738,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
324743,"Crackle,Tearing","/m/07pzfmf,/m/07qcx4z",val,data/FSD50K/FSD50K.dev_audio_16k/
153167,"Cutlery_and_silverware,Human_group_actions,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00012,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
424692,"Chirp_and_tweet,Crackle,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal,Fire","/m/07pggtn,/m/07pzfmf,/m/020bb7,/m/015p6,/m/01280g,/m/0jbk,/m/02_41",,data/FSD50K/FSD50K.eval_audio_16k/
326386,"Crack,Wood","/m/07qs1cx,/m/083vt",val,data/FSD50K/FSD50K.dev_audio_16k/
377536,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
329962,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
366794,"Crack,Wood","/m/07qs1cx,/m/083vt",train,data/FSD50K/FSD50K.dev_audio_16k/
124524,"Coin_(dropping),Rattle,Domestic_sounds_and_home_sounds","/m/0242l,/m/07qn4z3,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
265034,"Crackle,Fire","/m/07pzfmf,/m/02_41",val,data/FSD50K/FSD50K.dev_audio_16k/
399208,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
77547,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
185045,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
406400,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
220942,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
196316,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
32607,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
202016,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
341432,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
426815,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
77558,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
21104,Tearing,/m/07qcx4z,val,data/FSD50K/FSD50K.dev_audio_16k/
118183,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
98944,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
77574,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
77554,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
235480,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
198233,Tearing,/m/07qcx4z,,data/FSD50K/FSD50K.eval_audio_16k/
69480,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
68763,Crushing,/m/07plct2,train,data/FSD50K/FSD50K.dev_audio_16k/
70111,Crack,/m/07qs1cx,train,data/FSD50K/FSD50K.dev_audio_16k/
71798,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
431533,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
410404,"Crackle,Fire","/m/07pzfmf,/m/02_41",train,data/FSD50K/FSD50K.dev_audio_16k/
71436,"Packing_tape_and_duct_tape,Tearing,Domestic_sounds_and_home_sounds","/m/05mxj0q,/m/07qcx4z,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
211447,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
71803,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
114233,Crack,/m/07qs1cx,train,data/FSD50K/FSD50K.dev_audio_16k/
423333,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
218067,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
135676,"Crackle,Fire","/m/07pzfmf,/m/02_41",train,data/FSD50K/FSD50K.dev_audio_16k/
341920,Crushing,/m/07plct2,train,data/FSD50K/FSD50K.dev_audio_16k/
209006,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
71796,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
119831,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
278875,Crack,/m/07qs1cx,train,data/FSD50K/FSD50K.dev_audio_16k/
121608,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
395883,"Screech,Hiss,Crackle","/m/07q8k13,/m/07rjwbb,/m/07pzfmf",val,data/FSD50K/FSD50K.dev_audio_16k/
193668,"Cutlery_and_silverware,Drawer_open_or_close,Domestic_sounds_and_home_sounds","/m/023pjk,/m/0fqfqc,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
29909,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
84118,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
37167,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
232995,Crackle,/m/07pzfmf,,data/FSD50K/FSD50K.eval_audio_16k/
413202,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
393900,"Tap,Scissors,Tearing,Domestic_sounds_and_home_sounds","/m/07qcpgn,/m/01lsmm,/m/07qcx4z,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
144159,"Crack,Crushing","/m/07qs1cx,/m/07plct2",,data/FSD50K/FSD50K.eval_audio_16k/
232918,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
154470,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
333910,"Crushing,Wood","/m/07plct2,/m/083vt",val,data/FSD50K/FSD50K.dev_audio_16k/
327022,"Crack,Hands","/m/07qs1cx,/m/0k65p",,data/FSD50K/FSD50K.eval_audio_16k/
336982,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
257805,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
121605,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
85164,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
368960,Crushing,/m/07plct2,train,data/FSD50K/FSD50K.dev_audio_16k/
399302,"Crack,Hands,Breathing,Respiratory_sounds","/m/07qs1cx,/m/0k65p,/m/0lyf6,/m/09hlz4",,data/FSD50K/FSD50K.eval_audio_16k/
12870,"Cutlery_and_silverware,Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/023pjk,/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
187147,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
276115,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
278123,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
156187,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
94993,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
336564,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
156188,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
326956,"Crack,Crushing","/m/07qs1cx,/m/07plct2",,data/FSD50K/FSD50K.eval_audio_16k/
324410,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
211454,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
176569,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
321483,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
93164,Crushing,/m/07plct2,train,data/FSD50K/FSD50K.dev_audio_16k/
418906,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
199893,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
90397,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
366213,Crack,/m/07qs1cx,,data/FSD50K/FSD50K.eval_audio_16k/
336587,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
13848,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
423336,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
276176,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
270406,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
349275,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
319231,Crack,/m/07qs1cx,train,data/FSD50K/FSD50K.dev_audio_16k/
135462,"Crack,Crushing","/m/07qs1cx,/m/07plct2",,data/FSD50K/FSD50K.eval_audio_16k/
266991,"Cutlery_and_silverware,Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/023pjk,/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
245888,"Keys_jangling,Car_passing_by,Traffic_noise_and_roadway_noise,Alarm,Car,Motor_vehicle_(road),Vehicle,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00134,/m/0btp2,/m/07pp_mv,/m/0k4j,/m/012f08,/m/07yv9,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
386748,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
121609,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
352202,Crack,/m/07qs1cx,train,data/FSD50K/FSD50K.dev_audio_16k/
234856,"Crackle,Fire","/m/07pzfmf,/m/02_41",,data/FSD50K/FSD50K.eval_audio_16k/
269337,"Dishes_and_pots_and_pans,Liquid,Domestic_sounds_and_home_sounds","/m/04brg2,/m/04k94,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
410840,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
274819,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
94988,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
237378,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
393777,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
134907,"Crackle,Fire","/m/07pzfmf,/m/02_41",,data/FSD50K/FSD50K.eval_audio_16k/
369001,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
93165,Crushing,/m/07plct2,train,data/FSD50K/FSD50K.dev_audio_16k/
399214,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
88833,"Squeak,Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/07q6cd_,/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
221678,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
196321,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
32605,"Coin_(dropping),Mechanisms,Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00077,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
378896,"Scissors,Tearing,Domestic_sounds_and_home_sounds","/m/01lsmm,/m/07qcx4z,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
371583,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
220420,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
29905,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
337020,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
223374,"Packing_tape_and_duct_tape,Tearing,Domestic_sounds_and_home_sounds","/m/05mxj0q,/m/07qcx4z,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
80941,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
367824,"Male_speech_and_man_speaking,Chirp_and_tweet,Tearing,Speech,Human_voice,Bird_vocalization_and_bird_call_and_bird_song,Bird,Wild_animals,Animal","/m/05zppz,/m/07pggtn,/m/07qcx4z,/m/09x0r,/m/09l8g,/m/020bb7,/m/015p6,/m/01280g,/m/0jbk",,data/FSD50K/FSD50K.eval_audio_16k/
240780,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
336563,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
215849,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
167565,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
232552,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
156330,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
398406,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
80132,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
51445,"Rattle,Keys_jangling,Domestic_sounds_and_home_sounds","/m/07qn4z3,/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
431772,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
66813,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
119785,Tearing,/m/07qcx4z,,data/FSD50K/FSD50K.eval_audio_16k/
408220,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
382654,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
423339,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
164471,"Crackle,Fire","/m/07pzfmf,/m/02_41",train,data/FSD50K/FSD50K.dev_audio_16k/
79173,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
276507,Crushing,/m/07plct2,train,data/FSD50K/FSD50K.dev_audio_16k/
97538,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
123012,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
389806,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
51444,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
119874,Tearing,/m/07qcx4z,,data/FSD50K/FSD50K.eval_audio_16k/
156323,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
234609,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
412384,Crushing,/m/07plct2,train,data/FSD50K/FSD50K.dev_audio_16k/
395238,Tearing,/m/07qcx4z,,data/FSD50K/FSD50K.eval_audio_16k/
28658,Crack,/m/07qs1cx,train,data/FSD50K/FSD50K.dev_audio_16k/
383998,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
261466,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
405385,"Packing_tape_and_duct_tape,Tearing,Domestic_sounds_and_home_sounds","/m/05mxj0q,/m/07qcx4z,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
186693,"Fill_(with_liquid),Trickle_and_dribble,Crackle,Liquid,Pour","/m/07p7b8y,/m/07pqc89,/m/07pzfmf,/m/04k94,/m/07prgkl",,data/FSD50K/FSD50K.eval_audio_16k/
267006,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
382258,"Crack,Chewing_and_mastication,Crushing","/m/07qs1cx,/m/03cczk,/m/07plct2",,data/FSD50K/FSD50K.eval_audio_16k/
328901,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
325561,Crackle,/m/07pzfmf,val,data/FSD50K/FSD50K.dev_audio_16k/
97560,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
131935,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
276196,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
423893,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
51439,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
349276,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
88845,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
50118,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
70893,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",val,data/FSD50K/FSD50K.dev_audio_16k/
403991,"Keys_jangling,Domestic_sounds_and_home_sounds","/m/03v3yw,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
344644,Crumpling_and_crinkling,/t/dd00112,train,data/FSD50K/FSD50K.dev_audio_16k/
232560,"Coin_(dropping),Domestic_sounds_and_home_sounds","/m/0242l,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
66761,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
211190,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
159086,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
29889,"Cutlery_and_silverware,Domestic_sounds_and_home_sounds","/m/023pjk,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
214359,"Cutlery_and_silverware,Tap,Wood,Domestic_sounds_and_home_sounds","/m/023pjk,/m/07qcpgn,/m/083vt,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
77564,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
397448,Tearing,/m/07qcx4z,train,data/FSD50K/FSD50K.dev_audio_16k/
261404,Tearing,/m/07qcx4z,,data/FSD50K/FSD50K.eval_audio_16k/
80947,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",train,data/FSD50K/FSD50K.dev_audio_16k/
66390,Crackle,/m/07pzfmf,train,data/FSD50K/FSD50K.dev_audio_16k/
82043,"Dishes_and_pots_and_pans,Domestic_sounds_and_home_sounds","/m/04brg2,/t/dd00071",,data/FSD50K/FSD50K.eval_audio_16k/
